date,period,division,pl_group,amount,start,var,lo80,hi80,lo95,hi95
2014-01-01,train,Albuquerque,Cost of goods sold,-1185990,2014,historical,NA,NA,NA,NA
2014-01-01,train,Albuquerque,General & Admin,-296530,2014,historical,NA,NA,NA,NA
2014-01-01,train,Albuquerque,Revenue,1591200,2014,historical,NA,NA,NA,NA
2014-01-01,train,Albuquerque,Sales & Marketing,-284960,2014,historical,NA,NA,NA,NA
2014-02-01,train,Albuquerque,Cost of goods sold,-1175720,2014,historical,NA,NA,NA,NA
2014-02-01,train,Albuquerque,General & Admin,-264420,2014,historical,NA,NA,NA,NA
2014-02-01,train,Albuquerque,Revenue,1342120,2014,historical,NA,NA,NA,NA
2014-02-01,train,Albuquerque,Sales & Marketing,-251160,2014,historical,NA,NA,NA,NA
2014-03-01,train,Albuquerque,Cost of goods sold,-1442870,2014,historical,NA,NA,NA,NA
2014-03-01,train,Albuquerque,General & Admin,-299650,2014,historical,NA,NA,NA,NA
2014-03-01,train,Albuquerque,Revenue,1932840,2014,historical,NA,NA,NA,NA
2014-03-01,train,Albuquerque,Sales & Marketing,-331500,2014,historical,NA,NA,NA,NA
2014-04-01,train,Albuquerque,Cost of goods sold,-1305850,2014,historical,NA,NA,NA,NA
2014-04-01,train,Albuquerque,General & Admin,-269100,2014,historical,NA,NA,NA,NA
2014-04-01,train,Albuquerque,Revenue,1665820,2014,historical,NA,NA,NA,NA
2014-04-01,train,Albuquerque,Sales & Marketing,-285740,2014,historical,NA,NA,NA,NA
2014-05-01,train,Albuquerque,Cost of goods sold,-1509300,2014,historical,NA,NA,NA,NA
2014-05-01,train,Albuquerque,General & Admin,-311350,2014,historical,NA,NA,NA,NA
2014-05-01,train,Albuquerque,Revenue,2098460,2014,historical,NA,NA,NA,NA
2014-05-01,train,Albuquerque,Sales & Marketing,-312520,2014,historical,NA,NA,NA,NA
2014-06-01,train,Albuquerque,Cost of goods sold,-1784250,2014,historical,NA,NA,NA,NA
2014-06-01,train,Albuquerque,General & Admin,-317070,2014,historical,NA,NA,NA,NA
2014-06-01,train,Albuquerque,Revenue,2548520,2014,historical,NA,NA,NA,NA
2014-06-01,train,Albuquerque,Sales & Marketing,-412880,2014,historical,NA,NA,NA,NA
2014-07-01,train,Albuquerque,Cost of goods sold,-1996670,2014,historical,NA,NA,NA,NA
2014-07-01,train,Albuquerque,General & Admin,-329940,2014,historical,NA,NA,NA,NA
2014-07-01,train,Albuquerque,Revenue,3015480,2014,historical,NA,NA,NA,NA
2014-07-01,train,Albuquerque,Sales & Marketing,-540410,2014,historical,NA,NA,NA,NA
2014-08-01,train,Albuquerque,Cost of goods sold,-1700400,2014,historical,NA,NA,NA,NA
2014-08-01,train,Albuquerque,General & Admin,-301340,2014,historical,NA,NA,NA,NA
2014-08-01,train,Albuquerque,Revenue,2773420,2014,historical,NA,NA,NA,NA
2014-08-01,train,Albuquerque,Sales & Marketing,-575120,2014,historical,NA,NA,NA,NA
2014-09-01,train,Albuquerque,Cost of goods sold,-1648530,2014,historical,NA,NA,NA,NA
2014-09-01,train,Albuquerque,General & Admin,-345150,2014,historical,NA,NA,NA,NA
2014-09-01,train,Albuquerque,Revenue,2527070,2014,historical,NA,NA,NA,NA
2014-09-01,train,Albuquerque,Sales & Marketing,-469300,2014,historical,NA,NA,NA,NA
2014-10-01,train,Albuquerque,Cost of goods sold,-1531400,2014,historical,NA,NA,NA,NA
2014-10-01,train,Albuquerque,General & Admin,-279500,2014,historical,NA,NA,NA,NA
2014-10-01,train,Albuquerque,Revenue,2173990,2014,historical,NA,NA,NA,NA
2014-10-01,train,Albuquerque,Sales & Marketing,-383240,2014,historical,NA,NA,NA,NA
2014-11-01,train,Albuquerque,Cost of goods sold,-1403870,2014,historical,NA,NA,NA,NA
2014-11-01,train,Albuquerque,General & Admin,-255190,2014,historical,NA,NA,NA,NA
2014-11-01,train,Albuquerque,Revenue,1881620,2014,historical,NA,NA,NA,NA
2014-11-01,train,Albuquerque,Sales & Marketing,-254540,2014,historical,NA,NA,NA,NA
2014-12-01,train,Albuquerque,Cost of goods sold,-1205750,2014,historical,NA,NA,NA,NA
2014-12-01,train,Albuquerque,General & Admin,-264680,2014,historical,NA,NA,NA,NA
2014-12-01,train,Albuquerque,Revenue,1950260,2014,historical,NA,NA,NA,NA
2014-12-01,train,Albuquerque,Sales & Marketing,-367770,2014,historical,NA,NA,NA,NA
2015-01-01,train,Albuquerque,Cost of goods sold,-1054690,2014,historical,NA,NA,NA,NA
2015-01-01,train,Albuquerque,General & Admin,-245310,2014,historical,NA,NA,NA,NA
2015-01-01,train,Albuquerque,Revenue,1425060,2014,historical,NA,NA,NA,NA
2015-01-01,train,Albuquerque,Sales & Marketing,-323180,2014,historical,NA,NA,NA,NA
2015-02-01,train,Albuquerque,Cost of goods sold,-1076530,2014,historical,NA,NA,NA,NA
2015-02-01,train,Albuquerque,General & Admin,-275730,2014,historical,NA,NA,NA,NA
2015-02-01,train,Albuquerque,Revenue,1443780,2014,historical,NA,NA,NA,NA
2015-02-01,train,Albuquerque,Sales & Marketing,-312260,2014,historical,NA,NA,NA,NA
2015-03-01,train,Albuquerque,Cost of goods sold,-1222780,2014,historical,NA,NA,NA,NA
2015-03-01,train,Albuquerque,General & Admin,-256230,2014,historical,NA,NA,NA,NA
2015-03-01,train,Albuquerque,Revenue,1669460,2014,historical,NA,NA,NA,NA
2015-03-01,train,Albuquerque,Sales & Marketing,-356200,2014,historical,NA,NA,NA,NA
2015-04-01,train,Albuquerque,Cost of goods sold,-1268670,2014,historical,NA,NA,NA,NA
2015-04-01,train,Albuquerque,General & Admin,-244270,2014,historical,NA,NA,NA,NA
2015-04-01,train,Albuquerque,Revenue,1896050,2014,historical,NA,NA,NA,NA
2015-04-01,train,Albuquerque,Sales & Marketing,-383760,2014,historical,NA,NA,NA,NA
2015-05-01,train,Albuquerque,Cost of goods sold,-1249040,2014,historical,NA,NA,NA,NA
2015-05-01,train,Albuquerque,General & Admin,-345540,2014,historical,NA,NA,NA,NA
2015-05-01,train,Albuquerque,Revenue,1966120,2014,historical,NA,NA,NA,NA
2015-05-01,train,Albuquerque,Sales & Marketing,-340990,2014,historical,NA,NA,NA,NA
2015-06-01,train,Albuquerque,Cost of goods sold,-1716520,2014,historical,NA,NA,NA,NA
2015-06-01,train,Albuquerque,General & Admin,-393120,2014,historical,NA,NA,NA,NA
2015-06-01,train,Albuquerque,Revenue,2758860,2014,historical,NA,NA,NA,NA
2015-06-01,train,Albuquerque,Sales & Marketing,-454870,2014,historical,NA,NA,NA,NA
2015-07-01,train,Albuquerque,Cost of goods sold,-1756170,2014,historical,NA,NA,NA,NA
2015-07-01,train,Albuquerque,General & Admin,-334490,2014,historical,NA,NA,NA,NA
2015-07-01,train,Albuquerque,Revenue,2786290,2014,historical,NA,NA,NA,NA
2015-07-01,train,Albuquerque,Sales & Marketing,-478010,2014,historical,NA,NA,NA,NA
2015-08-01,train,Albuquerque,Cost of goods sold,-1661530,2014,historical,NA,NA,NA,NA
2015-08-01,train,Albuquerque,General & Admin,-336440,2014,historical,NA,NA,NA,NA
2015-08-01,train,Albuquerque,Revenue,3025880,2014,historical,NA,NA,NA,NA
2015-08-01,train,Albuquerque,Sales & Marketing,-542750,2014,historical,NA,NA,NA,NA
2015-09-01,train,Albuquerque,Cost of goods sold,-1555840,2014,historical,NA,NA,NA,NA
2015-09-01,train,Albuquerque,General & Admin,-273650,2014,historical,NA,NA,NA,NA
2015-09-01,train,Albuquerque,Revenue,2322580,2014,historical,NA,NA,NA,NA
2015-09-01,train,Albuquerque,Sales & Marketing,-370110,2014,historical,NA,NA,NA,NA
2015-10-01,train,Albuquerque,Cost of goods sold,-1396850,2014,historical,NA,NA,NA,NA
