date,period,division,pl_group,amount,start,var,lo80,hi80,lo95,hi95
2015-10-01,train,Albuquerque,General & Admin,-249340,2014,historical,NA,NA,NA,NA
2015-10-01,train,Albuquerque,Revenue,2254200,2014,historical,NA,NA,NA,NA
2015-10-01,train,Albuquerque,Sales & Marketing,-348400,2014,historical,NA,NA,NA,NA
2015-11-01,train,Albuquerque,Cost of goods sold,-1088100,2014,historical,NA,NA,NA,NA
2015-11-01,train,Albuquerque,General & Admin,-245440,2014,historical,NA,NA,NA,NA
2015-11-01,train,Albuquerque,Revenue,1958320,2014,historical,NA,NA,NA,NA
2015-11-01,train,Albuquerque,Sales & Marketing,-399100,2014,historical,NA,NA,NA,NA
2015-12-01,train,Albuquerque,Cost of goods sold,-1087450,2014,historical,NA,NA,NA,NA
2015-12-01,train,Albuquerque,General & Admin,-215670,2014,historical,NA,NA,NA,NA
2015-12-01,train,Albuquerque,Revenue,2153710,2014,historical,NA,NA,NA,NA
2015-12-01,train,Albuquerque,Sales & Marketing,-570440,2014,historical,NA,NA,NA,NA
2016-01-01,train,Albuquerque,Cost of goods sold,-994890,2014,historical,NA,NA,NA,NA
2016-01-01,train,Albuquerque,General & Admin,-221650,2014,historical,NA,NA,NA,NA
2016-01-01,train,Albuquerque,Revenue,1578850,2014,historical,NA,NA,NA,NA
2016-01-01,train,Albuquerque,Sales & Marketing,-306410,2014,historical,NA,NA,NA,NA
2016-02-01,train,Albuquerque,Cost of goods sold,-1069510,2014,historical,NA,NA,NA,NA
2016-02-01,train,Albuquerque,General & Admin,-215540,2014,historical,NA,NA,NA,NA
2016-02-01,train,Albuquerque,Revenue,1707030,2014,historical,NA,NA,NA,NA
2016-02-01,train,Albuquerque,Sales & Marketing,-299910,2014,historical,NA,NA,NA,NA
2016-03-01,train,Albuquerque,Cost of goods sold,-1220050,2014,historical,NA,NA,NA,NA
2016-03-01,train,Albuquerque,General & Admin,-241540,2014,historical,NA,NA,NA,NA
2016-03-01,train,Albuquerque,Revenue,1921530,2014,historical,NA,NA,NA,NA
2016-03-01,train,Albuquerque,Sales & Marketing,-306020,2014,historical,NA,NA,NA,NA
2016-04-01,train,Albuquerque,Cost of goods sold,-1149330,2014,historical,NA,NA,NA,NA
2016-04-01,train,Albuquerque,General & Admin,-230620,2014,historical,NA,NA,NA,NA
2016-04-01,train,Albuquerque,Revenue,1706380,2014,historical,NA,NA,NA,NA
2016-04-01,train,Albuquerque,Sales & Marketing,-287950,2014,historical,NA,NA,NA,NA
2016-05-01,train,Albuquerque,Cost of goods sold,-1176240,2014,historical,NA,NA,NA,NA
2016-05-01,train,Albuquerque,General & Admin,-241930,2014,historical,NA,NA,NA,NA
2016-05-01,train,Albuquerque,Revenue,1832740,2014,historical,NA,NA,NA,NA
2016-05-01,train,Albuquerque,Sales & Marketing,-388700,2014,historical,NA,NA,NA,NA
2016-06-01,train,Albuquerque,Cost of goods sold,-1493700,2014,historical,NA,NA,NA,NA
2016-06-01,train,Albuquerque,General & Admin,-260520,2014,historical,NA,NA,NA,NA
2016-06-01,train,Albuquerque,Revenue,2403960,2014,historical,NA,NA,NA,NA
2016-06-01,train,Albuquerque,Sales & Marketing,-405340,2014,historical,NA,NA,NA,NA
2016-07-01,train,Albuquerque,Cost of goods sold,-1480830,2014,historical,NA,NA,NA,NA
2016-07-01,train,Albuquerque,General & Admin,-287170,2014,historical,NA,NA,NA,NA
2016-07-01,train,Albuquerque,Revenue,2341040,2014,historical,NA,NA,NA,NA
2016-07-01,train,Albuquerque,Sales & Marketing,-350740,2014,historical,NA,NA,NA,NA
2016-08-01,train,Albuquerque,Cost of goods sold,-1498770,2014,historical,NA,NA,NA,NA
2016-08-01,train,Albuquerque,General & Admin,-264420,2014,historical,NA,NA,NA,NA
2016-08-01,train,Albuquerque,Revenue,2527850,2014,historical,NA,NA,NA,NA
2016-08-01,train,Albuquerque,Sales & Marketing,-409500,2014,historical,NA,NA,NA,NA
2016-09-01,train,Albuquerque,Cost of goods sold,-1288690,2014,historical,NA,NA,NA,NA
2016-09-01,train,Albuquerque,General & Admin,-245960,2014,historical,NA,NA,NA,NA
2016-09-01,train,Albuquerque,Revenue,2111720,2014,historical,NA,NA,NA,NA
2016-09-01,train,Albuquerque,Sales & Marketing,-382980,2014,historical,NA,NA,NA,NA
2016-10-01,train,Albuquerque,Cost of goods sold,-1109550,2014,historical,NA,NA,NA,NA
2016-10-01,train,Albuquerque,General & Admin,-238420,2014,historical,NA,NA,NA,NA
2016-10-01,train,Albuquerque,Revenue,1742650,2014,historical,NA,NA,NA,NA
2016-10-01,train,Albuquerque,Sales & Marketing,-258830,2014,historical,NA,NA,NA,NA
2016-11-01,train,Albuquerque,Cost of goods sold,-1355250,2014,historical,NA,NA,NA,NA
2016-11-01,train,Albuquerque,General & Admin,-280410,2014,historical,NA,NA,NA,NA
2016-11-01,train,Albuquerque,Revenue,2474420,2014,historical,NA,NA,NA,NA
2016-11-01,train,Albuquerque,Sales & Marketing,-402610,2014,historical,NA,NA,NA,NA
2016-12-01,train,Albuquerque,Cost of goods sold,-985140,2014,historical,NA,NA,NA,NA
2016-12-01,train,Albuquerque,General & Admin,-301600,2014,historical,NA,NA,NA,NA
2016-12-01,train,Albuquerque,Revenue,2008760,2014,historical,NA,NA,NA,NA
2016-12-01,train,Albuquerque,Sales & Marketing,-295750,2014,historical,NA,NA,NA,NA
2017-01-01,train,Albuquerque,Cost of goods sold,-975910,2014,historical,NA,NA,NA,NA
2017-01-01,train,Albuquerque,General & Admin,-256880,2014,historical,NA,NA,NA,NA
2017-01-01,train,Albuquerque,Revenue,1435200,2014,historical,NA,NA,NA,NA
2017-01-01,train,Albuquerque,Sales & Marketing,-256360,2014,historical,NA,NA,NA,NA
2017-02-01,train,Albuquerque,Cost of goods sold,-1040650,2014,historical,NA,NA,NA,NA
2017-02-01,train,Albuquerque,General & Admin,-234780,2014,historical,NA,NA,NA,NA
2017-02-01,train,Albuquerque,Revenue,1516320,2014,historical,NA,NA,NA,NA
2017-02-01,train,Albuquerque,Sales & Marketing,-283660,2014,historical,NA,NA,NA,NA
2017-03-01,train,Albuquerque,Cost of goods sold,-1087580,2014,historical,NA,NA,NA,NA
2017-03-01,train,Albuquerque,General & Admin,-273390,2014,historical,NA,NA,NA,NA
2017-03-01,train,Albuquerque,Revenue,1644890,2014,historical,NA,NA,NA,NA
2017-03-01,train,Albuquerque,Sales & Marketing,-340730,2014,historical,NA,NA,NA,NA
2017-04-01,train,Albuquerque,Cost of goods sold,-1047800,2014,historical,NA,NA,NA,NA
2017-04-01,train,Albuquerque,General & Admin,-242060,2014,historical,NA,NA,NA,NA
2017-04-01,train,Albuquerque,Revenue,1631110,2014,historical,NA,NA,NA,NA
2017-04-01,train,Albuquerque,Sales & Marketing,-325260,2014,historical,NA,NA,NA,NA
2017-05-01,train,Albuquerque,Cost of goods sold,-1367080,2014,historical,NA,NA,NA,NA
2017-05-01,train,Albuquerque,General & Admin,-216580,2014,historical,NA,NA,NA,NA
2017-05-01,train,Albuquerque,Revenue,2080780,2014,historical,NA,NA,NA,NA
2017-05-01,train,Albuquerque,Sales & Marketing,-384540,2014,historical,NA,NA,NA,NA
2017-06-01,train,Albuquerque,Cost of goods sold,-1551810,2014,historical,NA,NA,NA,NA
2017-06-01,train,Albuquerque,General & Admin,-304460,2014,historical,NA,NA,NA,NA
2017-06-01,train,Albuquerque,Revenue,2654470,2014,historical,NA,NA,NA,NA
2017-06-01,train,Albuquerque,Sales & Marketing,-534560,2014,historical,NA,NA,NA,NA
2017-07-01,train,Albuquerque,Cost of goods sold,-1561820,2014,historical,NA,NA,NA,NA
2017-07-01,train,Albuquerque,General & Admin,-310050,2014,historical,NA,NA,NA,NA
2017-07-01,train,Albuquerque,Revenue,2619240,2014,historical,NA,NA,NA,NA
2017-07-01,train,Albuquerque,Sales & Marketing,-483600,2014,historical,NA,NA,NA,NA
2017-08-01,train,Albuquerque,Cost of goods sold,-1525290,2014,historical,NA,NA,NA,NA
2017-08-01,train,Albuquerque,General & Admin,-234130,2014,historical,NA,NA,NA,NA
2017-08-01,train,Albuquerque,Revenue,2359110,2014,historical,NA,NA,NA,NA
2017-08-01,train,Albuquerque,Sales & Marketing,-402090,2014,historical,NA,NA,NA,NA
2017-09-01,train,Albuquerque,Cost of goods sold,-1315470,2014,historical,NA,NA,NA,NA
2017-09-01,train,Albuquerque,General & Admin,-286260,2014,historical,NA,NA,NA,NA
2017-09-01,train,Albuquerque,Revenue,2054650,2014,historical,NA,NA,NA,NA
2017-09-01,train,Albuquerque,Sales & Marketing,-318500,2014,historical,NA,NA,NA,NA
2017-10-01,train,Albuquerque,Cost of goods sold,-1234610,2014,historical,NA,NA,NA,NA
2017-10-01,train,Albuquerque,General & Admin,-246740,2014,historical,NA,NA,NA,NA
2017-10-01,train,Albuquerque,Revenue,1945840,2014,historical,NA,NA,NA,NA
2017-10-01,train,Albuquerque,Sales & Marketing,-342420,2014,historical,NA,NA,NA,NA
2017-11-01,train,Albuquerque,Cost of goods sold,-1145170,2014,historical,NA,NA,NA,NA
2017-11-01,train,Albuquerque,General & Admin,-229710,2014,historical,NA,NA,NA,NA
2017-11-01,train,Albuquerque,Revenue,2001350,2014,historical,NA,NA,NA,NA
2017-11-01,train,Albuquerque,Sales & Marketing,-371800,2014,historical,NA,NA,NA,NA
2017-12-01,test,Albuquerque,Cost of goods sold,-1123200,2014,historical,NA,NA,NA,NA
2017-12-01,test,Albuquerque,General & Admin,-297830,2014,historical,NA,NA,NA,NA
2017-12-01,test,Albuquerque,Revenue,2103400,2014,historical,NA,NA,NA,NA
2017-12-01,test,Albuquerque,Sales & Marketing,-350220,2014,historical,NA,NA,NA,NA
2018-01-01,test,Albuquerque,Cost of goods sold,-1002820,2014,historical,NA,NA,NA,NA
2018-01-01,test,Albuquerque,General & Admin,-244920,2014,historical,NA,NA,NA,NA
2018-01-01,test,Albuquerque,Revenue,1452750,2014,historical,NA,NA,NA,NA
2018-01-01,test,Albuquerque,Sales & Marketing,-249600,2014,historical,NA,NA,NA,NA
2017-01-01,train,Boise,Cost of goods sold,-839930,2014,historical,NA,NA,NA,NA
2018-01-01,test,Boise,Cost of goods sold,-847210,2014,historical,NA,NA,NA,NA
2016-12-01,train,Boise,Cost of goods sold,-940160,2014,historical,NA,NA,NA,NA
2015-02-01,train,Boise,Cost of goods sold,-1023490,2014,historical,NA,NA,NA,NA
2016-11-01,train,Boise,Cost of goods sold,-1034150,2014,historical,NA,NA,NA,NA
2016-10-01,train,Boise,Cost of goods sold,-1038830,2014,historical,NA,NA,NA,NA
2017-02-01,train,Boise,Cost of goods sold,-1063010,2014,historical,NA,NA,NA,NA
2015-01-01,train,Boise,Cost of goods sold,-1065220,2014,historical,NA,NA,NA,NA
2015-03-01,train,Boise,Cost of goods sold,-1069510,2014,historical,NA,NA,NA,NA
2016-02-01,train,Boise,Cost of goods sold,-1082120,2014,historical,NA,NA,NA,NA
2015-11-01,train,Boise,Cost of goods sold,-1086800,2014,historical,NA,NA,NA,NA
2016-04-01,train,Boise,Cost of goods sold,-1091480,2014,historical,NA,NA,NA,NA
2014-02-01,train,Boise,Cost of goods sold,-1145170,2014,historical,NA,NA,NA,NA
2017-11-01,train,Boise,Cost of goods sold,-1146210,2014,historical,NA,NA,NA,NA
2016-01-01,train,Boise,Cost of goods sold,-1154920,2014,historical,NA,NA,NA,NA
2014-01-01,train,Boise,Cost of goods sold,-1172340,2014,historical,NA,NA,NA,NA
2016-03-01,train,Boise,Cost of goods sold,-1178190,2014,historical,NA,NA,NA,NA
2014-05-01,train,Boise,Cost of goods sold,-1192880,2014,historical,NA,NA,NA,NA
2014-11-01,train,Boise,Cost of goods sold,-1205230,2014,historical,NA,NA,NA,NA
2016-09-01,train,Boise,Cost of goods sold,-1224210,2014,historical,NA,NA,NA,NA
2014-10-01,train,Boise,Cost of goods sold,-1245140,2014,historical,NA,NA,NA,NA
2017-10-01,train,Boise,Cost of goods sold,-1249170,2014,historical,NA,NA,NA,NA
2014-03-01,train,Boise,Cost of goods sold,-1259570,2014,historical,NA,NA,NA,NA
2017-12-01,test,Boise,Cost of goods sold,-1263470,2014,historical,NA,NA,NA,NA
2017-09-01,train,Boise,Cost of goods sold,-1264510,2014,historical,NA,NA,NA,NA
2014-04-01,train,Boise,Cost of goods sold,-1281280,2014,historical,NA,NA,NA,NA
2014-09-01,train,Boise,Cost of goods sold,-1297010,2014,historical,NA,NA,NA,NA
2016-05-01,train,Boise,Cost of goods sold,-1310140,2014,historical,NA,NA,NA,NA
2017-03-01,train,Boise,Cost of goods sold,-1348230,2014,historical,NA,NA,NA,NA
2014-12-01,train,Boise,Cost of goods sold,-1365780,2014,historical,NA,NA,NA,NA
2015-05-01,train,Boise,Cost of goods sold,-1368380,2014,historical,NA,NA,NA,NA
2017-04-01,train,Boise,Cost of goods sold,-1393080,2014,historical,NA,NA,NA,NA
2015-04-01,train,Boise,Cost of goods sold,-1394250,2014,historical,NA,NA,NA,NA
2015-12-01,train,Boise,Cost of goods sold,-1440920,2014,historical,NA,NA,NA,NA
2014-08-01,train,Boise,Cost of goods sold,-1496950,2014,historical,NA,NA,NA,NA
2016-07-01,train,Boise,Cost of goods sold,-1501110,2014,historical,NA,NA,NA,NA
2015-09-01,train,Boise,Cost of goods sold,-1515670,2014,historical,NA,NA,NA,NA
2016-08-01,train,Boise,Cost of goods sold,-1556100,2014,historical,NA,NA,NA,NA
2015-07-01,train,Boise,Cost of goods sold,-1577680,2014,historical,NA,NA,NA,NA
2016-06-01,train,Boise,Cost of goods sold,-1587170,2014,historical,NA,NA,NA,NA
2017-05-01,train,Boise,Cost of goods sold,-1613170,2014,historical,NA,NA,NA,NA
2014-06-01,train,Boise,Cost of goods sold,-1661530,2014,historical,NA,NA,NA,NA
2015-08-01,train,Boise,Cost of goods sold,-1704040,2014,historical,NA,NA,NA,NA
2015-06-01,train,Boise,Cost of goods sold,-1730560,2014,historical,NA,NA,NA,NA
2015-10-01,train,Boise,Cost of goods sold,-1747070,2014,historical,NA,NA,NA,NA
2017-06-01,train,Boise,Cost of goods sold,-1747070,2014,historical,NA,NA,NA,NA
2017-08-01,train,Boise,Cost of goods sold,-1839890,2014,historical,NA,NA,NA,NA
2014-07-01,train,Boise,Cost of goods sold,-1890720,2014,historical,NA,NA,NA,NA
2017-07-01,train,Boise,Cost of goods sold,-1896440,2014,historical,NA,NA,NA,NA
2018-01-01,test,Boise,General & Admin,-187330,2014,historical,NA,NA,NA,NA
2017-03-01,train,Boise,General & Admin,-189540,2014,historical,NA,NA,NA,NA
2016-10-01,train,Boise,General & Admin,-196430,2014,historical,NA,NA,NA,NA
2016-11-01,train,Boise,General & Admin,-210600,2014,historical,NA,NA,NA,NA
2017-02-01,train,Boise,General & Admin,-214240,2014,historical,NA,NA,NA,NA
2017-10-01,train,Boise,General & Admin,-214760,2014,historical,NA,NA,NA,NA
2017-01-01,train,Boise,General & Admin,-219180,2014,historical,NA,NA,NA,NA
2017-04-01,train,Boise,General & Admin,-222560,2014,historical,NA,NA,NA,NA
2015-11-01,train,Boise,General & Admin,-227890,2014,historical,NA,NA,NA,NA
2017-09-01,train,Boise,General & Admin,-228800,2014,historical,NA,NA,NA,NA
2017-11-01,train,Boise,General & Admin,-231530,2014,historical,NA,NA,NA,NA
2016-12-01,train,Boise,General & Admin,-232830,2014,historical,NA,NA,NA,NA
2014-11-01,train,Boise,General & Admin,-234390,2014,historical,NA,NA,NA,NA
2017-08-01,train,Boise,General & Admin,-235820,2014,historical,NA,NA,NA,NA
2016-01-01,train,Boise,General & Admin,-236990,2014,historical,NA,NA,NA,NA
2016-02-01,train,Boise,General & Admin,-238290,2014,historical,NA,NA,NA,NA
2016-09-01,train,Boise,General & Admin,-245310,2014,historical,NA,NA,NA,NA
2015-01-01,train,Boise,General & Admin,-245700,2014,historical,NA,NA,NA,NA
2016-03-01,train,Boise,General & Admin,-247520,2014,historical,NA,NA,NA,NA
2014-02-01,train,Boise,General & Admin,-251290,2014,historical,NA,NA,NA,NA
2017-05-01,train,Boise,General & Admin,-255060,2014,historical,NA,NA,NA,NA
2014-12-01,train,Boise,General & Admin,-260520,2014,historical,NA,NA,NA,NA
2015-10-01,train,Boise,General & Admin,-262340,2014,historical,NA,NA,NA,NA
2015-03-01,train,Boise,General & Admin,-264030,2014,historical,NA,NA,NA,NA
2015-08-01,train,Boise,General & Admin,-269620,2014,historical,NA,NA,NA,NA
2017-06-01,train,Boise,General & Admin,-270140,2014,historical,NA,NA,NA,NA
2014-05-01,train,Boise,General & Admin,-270660,2014,historical,NA,NA,NA,NA
2016-04-01,train,Boise,General & Admin,-270790,2014,historical,NA,NA,NA,NA
2015-05-01,train,Boise,General & Admin,-271310,2014,historical,NA,NA,NA,NA
2014-10-01,train,Boise,General & Admin,-273780,2014,historical,NA,NA,NA,NA
2015-02-01,train,Boise,General & Admin,-274690,2014,historical,NA,NA,NA,NA
2015-04-01,train,Boise,General & Admin,-274690,2014,historical,NA,NA,NA,NA
2017-07-01,train,Boise,General & Admin,-275860,2014,historical,NA,NA,NA,NA
2016-06-01,train,Boise,General & Admin,-281840,2014,historical,NA,NA,NA,NA
2014-04-01,train,Boise,General & Admin,-283010,2014,historical,NA,NA,NA,NA
2016-05-01,train,Boise,General & Admin,-286260,2014,historical,NA,NA,NA,NA
2015-06-01,train,Boise,General & Admin,-287820,2014,historical,NA,NA,NA,NA
2014-08-01,train,Boise,General & Admin,-289510,2014,historical,NA,NA,NA,NA
2014-03-01,train,Boise,General & Admin,-291200,2014,historical,NA,NA,NA,NA
2014-01-01,train,Boise,General & Admin,-298090,2014,historical,NA,NA,NA,NA
2015-07-01,train,Boise,General & Admin,-299260,2014,historical,NA,NA,NA,NA
2015-09-01,train,Boise,General & Admin,-299260,2014,historical,NA,NA,NA,NA
2014-07-01,train,Boise,General & Admin,-305630,2014,historical,NA,NA,NA,NA
2016-08-01,train,Boise,General & Admin,-313170,2014,historical,NA,NA,NA,NA
2014-06-01,train,Boise,General & Admin,-319670,2014,historical,NA,NA,NA,NA
2016-07-01,train,Boise,General & Admin,-321880,2014,historical,NA,NA,NA,NA
2014-09-01,train,Boise,General & Admin,-345800,2014,historical,NA,NA,NA,NA
2017-12-01,test,Boise,General & Admin,-345800,2014,historical,NA,NA,NA,NA
2015-12-01,train,Boise,General & Admin,-400660,2014,historical,NA,NA,NA,NA
2017-07-01,train,Boise,Revenue,2768870,2014,historical,NA,NA,NA,NA
2017-06-01,train,Boise,Revenue,2536950,2014,historical,NA,NA,NA,NA
2017-08-01,train,Boise,Revenue,2536950,2014,historical,NA,NA,NA,NA
2014-07-01,train,Boise,Revenue,2368600,2014,historical,NA,NA,NA,NA
2015-08-01,train,Boise,Revenue,2218840,2014,historical,NA,NA,NA,NA
2015-10-01,train,Boise,Revenue,2175680,2014,historical,NA,NA,NA,NA
2017-05-01,train,Boise,Revenue,2174510,2014,historical,NA,NA,NA,NA
2014-06-01,train,Boise,Revenue,2148900,2014,historical,NA,NA,NA,NA
2015-12-01,train,Boise,Revenue,2143050,2014,historical,NA,NA,NA,NA
2015-06-01,train,Boise,Revenue,2112110,2014,historical,NA,NA,NA,NA
2017-04-01,train,Boise,Revenue,2054910,2014,historical,NA,NA,NA,NA
2015-07-01,train,Boise,Revenue,1990040,2014,historical,NA,NA,NA,NA
2016-06-01,train,Boise,Revenue,1970150,2014,historical,NA,NA,NA,NA
2017-03-01,train,Boise,Revenue,1959360,2014,historical,NA,NA,NA,NA
2014-12-01,train,Boise,Revenue,1882660,2014,historical,NA,NA,NA,NA
2016-07-01,train,Boise,Revenue,1861860,2014,historical,NA,NA,NA,NA
2014-08-01,train,Boise,Revenue,1856140,2014,historical,NA,NA,NA,NA
2015-09-01,train,Boise,Revenue,1832740,2014,historical,NA,NA,NA,NA
2016-08-01,train,Boise,Revenue,1823900,2014,historical,NA,NA,NA,NA
2015-04-01,train,Boise,Revenue,1749800,2014,historical,NA,NA,NA,NA
