model_year,division,carline,eng_displ,cylinders,mpg,aspiration,trans,gears,lockup_torque_converter,drive_sys,fuel_type,intake_valves_per_cyl,exhaust_valves_per_cyl,car_class
2015,acura,ILX,2,4,37.4777,Naturally_Aspirated,SA,5,1,F,GP,2,2,compact_cars
2015,acura,ILX,2.4,4,32.166,Naturally_Aspirated,M,6,0,F,GP,2,2,compact_cars
2016,acura,ILX,2.4,4,38.7615,Naturally_Aspirated,AM,8,1,F,GP,2,2,compact_cars
2017,acura,ILX,2.4,4,38.7615,Naturally_Aspirated,AMS,8,1,F,GP,2,2,compact_cars
2015,acura,MDX 2WD,3.5,6,30.0497,Naturally_Aspirated,SA,6,1,F,GP,2,2,small_suv_2wd
2016,acura,MDX 2WD,3.5,6,30.0255,Naturally_Aspirated,SA,9,1,F,GP,2,2,small_suv_2wd
2016,acura,MDX 2WD,3.5,6,30.4957,Naturally_Aspirated,SA,9,1,F,GP,2,2,small_suv_2wd
2015,acura,MDX 4WD,3.5,6,27.9753,Naturally_Aspirated,SA,6,1,A,GP,2,2,small_suv_4wd
2016,acura,MDX 4WD,3.5,6,28.1409,Naturally_Aspirated,SA,9,1,A,GP,2,2,small_suv_4wd
2016,acura,MDX 4WD,3.5,6,28.9051,Naturally_Aspirated,SA,9,1,A,GP,2,2,small_suv_4wd
2017,acura,MDX AWD,3,6,36.2051,Naturally_Aspirated,AMS,7,1,A,GP,2,2,small_suv_4wd
2017,acura,MDX AWD,3.5,6,28.9779,Naturally_Aspirated,SA,9,1,A,GP,2,2,small_suv_4wd
2017,acura,MDX AWD,3.5,6,28.9793,Naturally_Aspirated,SA,9,1,A,GP,2,2,small_suv_4wd
2017,acura,MDX FWD,3.5,6,30.2932,Naturally_Aspirated,SA,9,1,F,GP,2,2,small_suv_2wd
2017,acura,MDX FWD,3.5,6,30.684,Naturally_Aspirated,SA,9,1,F,GP,2,2,small_suv_2wd
2017,acura,NSX,3.5,6,29.3561,Turbocharged,AMS,9,1,A,GPR,2,2,two_seaters
2015,acura,RDX 2WD,3.5,6,30.1304,Naturally_Aspirated,SA,6,1,F,GP,2,2,small_suv_2wd
2016,acura,RDX 2WD,3.5,6,30.071,Naturally_Aspirated,SA,6,1,F,GP,2,2,small_suv_2wd
2015,acura,RDX 4WD,3.5,6,29.0822,Naturally_Aspirated,SA,6,1,A,GP,2,2,small_suv_4wd
2016,acura,RDX 4WD,3.5,6,28.7377,Naturally_Aspirated,SA,6,1,A,GP,2,2,small_suv_4wd
2017,acura,RDX AWD,3.5,6,28.7377,Naturally_Aspirated,SA,6,1,A,GP,2,2,small_suv_4wd
2017,acura,RDX FWD,3.5,6,30.071,Naturally_Aspirated,SA,6,1,F,GP,2,2,small_suv_2wd
2015,acura,RLX,3.5,6,30.8273,Naturally_Aspirated,SA,6,1,F,GP,2,2,midsize_cars
2016,acura,RLX,3.5,6,40.262,Naturally_Aspirated,AM,7,1,A,GP,2,2,midsize_cars
2016,acura,RLX,3.5,6,30.8483,Naturally_Aspirated,SA,6,1,F,GP,2,2,midsize_cars
2017,acura,RLX,3.5,6,40.8486,Naturally_Aspirated,AMS,7,1,A,GP,2,2,midsize_cars
2017,acura,RLX,3.5,6,30.8483,Naturally_Aspirated,SA,6,1,F,GP,2,2,midsize_cars
2018,acura,RLX,3.5,6,39.7588,Naturally_Aspirated,AMS,7,1,A,GP,2,2,midsize_cars
2018,acura,RLX,3.5,6,30.5533,Naturally_Aspirated,SA,10,1,F,GP,2,2,midsize_cars
2015,acura,TLX,2.4,4,38.3003,Naturally_Aspirated,AM,8,1,F,GP,2,2,compact_cars
2015,acura,TLX,3.5,6,34.7393,Naturally_Aspirated,SA,9,1,F,GP,2,2,compact_cars
2016,acura,TLX 2WD,2.4,4,38.3003,Naturally_Aspirated,AMS,8,1,F,GP,2,2,compact_cars
2015,acura,TLX AWD,3.5,6,33.1457,Naturally_Aspirated,SA,9,1,A,GP,2,2,compact_cars
2017,acura,TLX AWD,3.5,6,33.1457,Naturally_Aspirated,SA,9,1,A,GP,2,2,compact_cars
2018,acura,TLX AWD,3.5,6,31.855,Naturally_Aspirated,SA,9,1,A,GP,2,2,compact_cars
