model_year,division,carline,eng_displ,cylinders,mpg,aspiration,trans,gears,lockup_torque_converter,drive_sys,fuel_type,intake_valves_per_cyl,exhaust_valves_per_cyl,car_class
2018,acura,TLX AWD A-SPEC,3.5,6,30.057,Naturally_Aspirated,SA,9,1,A,GP,2,2,compact_cars
2017,acura,TLX FWD,2.4,4,38.3003,Naturally_Aspirated,AMS,8,1,F,GP,2,2,compact_cars
2017,acura,TLX FWD,3.5,6,34.7393,Naturally_Aspirated,SA,9,1,F,GP,2,2,compact_cars
2018,acura,TLX FWD,2.4,4,36.1299,Naturally_Aspirated,AMS,8,1,F,GP,2,2,compact_cars
2018,acura,TLX FWD,3.5,6,31.9191,Naturally_Aspirated,SA,9,1,F,GP,2,2,compact_cars
2018,acura,TLX FWD A-SPEC,3.5,6,30.6804,Naturally_Aspirated,SA,9,1,F,GP,2,2,compact_cars
2015,alfa_romeo,4C,1.8,4,34.4702,Turbocharged,AM,6,1,R,GP,2,2,two_seaters
2016,alfa_romeo,4C,1.8,4,34.4702,Turbocharged,AM,6,1,R,GP,2,2,two_seaters
2017,alfa_romeo,Giulia,2,4,36.1059,Turbocharged,A,8,1,R,GP,2,2,midsize_cars
2017,alfa_romeo,Giulia,2.9,6,25.6124,Turbocharged,A,8,1,R,GP,2,2,midsize_cars
2017,alfa_romeo,Giulia AWD,2,4,34.035,Turbocharged,A,8,1,A,GP,2,2,midsize_cars
2018,alfa_romeo,Stelvio AWD,2,4,32.4189,Turbocharged,A,8,1,A,GP,2,2,small_suv_4wd
2017,aston_martin_lagonda_ltd,DB11 V12,5.2,12,22.8444,Turbocharged,SA,8,1,R,GP,2,2,minicompact_cars
2015,aston_martin_lagonda_ltd,DB9,5.9,12,19.4,Naturally_Aspirated,SA,6,1,R,GP,2,2,minicompact_cars
2015,aston_martin_lagonda_ltd,Rapide S,6,12,21.3382,Naturally_Aspirated,SA,8,1,R,GP,2,2,subcompact_cars
2017,aston_martin_lagonda_ltd,Rapide S,6,12,21.3382,Naturally_Aspirated,SA,8,1,R,GP,2,2,subcompact_cars
2015,aston_martin_lagonda_ltd,V12 Vantage S,6,12,18.1901,Naturally_Aspirated,AM,7,0,R,GP,2,2,two_seaters
2017,aston_martin_lagonda_ltd,V12 Vantage S,6,12,18.1901,Naturally_Aspirated,AM,7,0,R,GP,2,2,two_seaters
2017,aston_martin_lagonda_ltd,V12 Vantage S,6,12,15.415,Naturally_Aspirated,M,7,0,R,GP,2,2,two_seaters
2015,aston_martin_lagonda_ltd,V8 Vantage,4.7,8,20.5806,Naturally_Aspirated,AM,7,0,R,GP,2,2,two_seaters
2015,aston_martin_lagonda_ltd,V8 Vantage,4.7,8,19.4895,Naturally_Aspirated,M,6,0,R,GP,2,2,two_seaters
2015,aston_martin_lagonda_ltd,Vanquish,6,12,20.4316,Naturally_Aspirated,SA,8,1,R,GP,2,2,minicompact_cars
2017,aston_martin_lagonda_ltd,"Vanquish, S and Zagato",6,12,20.4316,Naturally_Aspirated,SA,8,1,R,GP,2,2,minicompact_cars
2015,audi,A3,1.8,4,34.858,Turbocharged,AMS,6,1,F,GP,2,2,subcompact_cars
2015,audi,A3,2,4,48.2955,Turbocharged,AMS,6,1,F,DU,2,2,subcompact_cars
2017,audi,A3,2,4,38.7033,Turbocharged,AMS,7,1,F,G,2,2,subcompact_cars
2015,audi,A3 Cabriolet,1.8,4,36.2224,Turbocharged,AMS,6,1,F,GP,2,2,subcompact_cars
2017,audi,A3 Cabriolet,2,4,38.0198,Turbocharged,AMS,7,1,F,G,2,2,subcompact_cars
2018,audi,A3 Cabriolet,2,4,38.0198,Turbocharged,AMS,7,1,F,G,2,2,subcompact_cars
2015,audi,A3 Cabriolet quattro,2,4,34.3094,Turbocharged,AMS,6,1,A,GP,2,2,subcompact_cars
2017,audi,A3 Cabriolet quattro,2,4,31.9996,Turbocharged,AMS,6,1,A,G,2,2,subcompact_cars
2015,audi,A3 quattro,2,4,35.1828,Turbocharged,AMS,6,1,A,GP,2,2,subcompact_cars
2017,audi,A3 quattro,2,4,36.3562,Turbocharged,AMS,6,1,A,G,2,2,subcompact_cars
2015,audi,A4,2,4,35.4089,Turbocharged,SCV,8,0,F,GP,2,2,compact_cars
2016,audi,A4,2,4,35.4089,Turbocharged,SCV,8,0,F,GP,2,2,compact_cars
2017,audi,A4,2,4,37.3079,Turbocharged,AMS,7,1,F,GP,2,2,compact_cars
2017,audi,A4 allroad quattro,2,4,33.9306,Turbocharged,AMS,7,1,A,GP,2,2,small_station_wagons
2017,audi,A4 quattro,2,4,36.2361,Turbocharged,AMS,7,1,A,GP,2,2,compact_cars
2017,audi,A4 quattro,2,4,34.8787,Turbocharged,M,6,0,A,GP,2,2,compact_cars
2017,audi,A4 Ultra,2,4,41.0931,Turbocharged,AMS,7,1,F,GP,2,2,compact_cars
2015,audi,A5 Cabriolet quattro,2,4,31.4377,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2017,audi,A5 Cabriolet quattro,2,4,31.4377,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,audi,A5 Cabriolet quattro,2,4,36.0771,Turbocharged,AMS,7,1,A,GP,2,2,subcompact_cars
2015,audi,A5 quattro,2,4,32.3011,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,audi,A5 quattro,2,4,33.1059,Turbocharged,M,6,0,A,GP,2,2,subcompact_cars
2016,audi,A5 quattro,2,4,33.2017,Turbocharged,M,6,0,A,GP,2,2,subcompact_cars
2017,audi,A5 quattro,2,4,32.746,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2017,audi,A5 quattro,2,4,33.7397,Turbocharged,M,6,0,A,GP,2,2,subcompact_cars
2018,audi,A5 quattro,2,4,34.7198,Turbocharged,M,6,0,A,GP,2,2,subcompact_cars
2015,audi,A6,2,4,36.8857,Turbocharged,SCV,8,0,F,GP,2,2,midsize_cars
2016,audi,A6,2,4,37.2657,Turbocharged,AMS,7,1,F,GP,2,2,midsize_cars
2017,audi,A6,2,4,37.528,Turbocharged,AMS,7,1,F,GP,2,2,midsize_cars
2018,audi,A6,2,4,38.4137,Turbocharged,AMS,7,1,F,GP,2,2,midsize_cars
2015,audi,A6 quattro,2,4,30.0404,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,A6 quattro,3,6,28.1037,Supercharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,A6 quattro,3,6,37.7304,Turbocharged,SA,8,1,A,DU,2,2,midsize_cars
2016,audi,A6 quattro,2,4,33.7274,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2016,audi,A6 quattro,3,6,31.0325,Supercharged,SA,8,1,A,GP,2,2,midsize_cars
2016,audi,A6 quattro,3,6,38.1901,Turbocharged,SA,8,1,A,DU,2,2,midsize_cars
2017,audi,A6 quattro,2,4,33.247,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2017,audi,A6 quattro,3,6,31.108,Supercharged,SA,8,1,A,GP,2,2,midsize_cars
2018,audi,A6 quattro,2,4,33.9479,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2018,audi,A6 quattro,3,6,30.8695,Supercharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,A7 quattro,3,6,27.9059,Supercharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,A8,3,6,28.8162,Supercharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,A8,4,8,27.9601,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,A8L,3,6,36.8664,Turbocharged,SA,8,1,A,DU,2,2,large_cars
2015,audi,A8L,4,8,27.6266,Turbocharged,SA,8,1,A,GP,2,2,large_cars
2015,audi,A8L,6.3,12,20.9595,Naturally_Aspirated,SA,8,1,A,GP,2,2,large_cars
2018,audi,A8L,4,8,24.2537,Turbocharged,SA,8,1,A,GP,2,2,large_cars
2015,audi,allroad quattro,2,4,31.1732,Turbocharged,SA,8,1,A,GP,2,2,small_station_wagons
2018,audi,allroad quattro,2,4,33.1592,Turbocharged,AMS,7,1,A,GP,2,2,small_station_wagons
2015,audi,Q3,2,4,29.9555,Turbocharged,SA,6,1,F,GP,2,2,compact_cars
2017,audi,Q3,2,4,29.9555,Turbocharged,SA,6,1,F,GP,2,2,compact_cars
2018,audi,Q3,2,4,29.9555,Turbocharged,SA,6,1,F,GP,2,2,compact_cars
2015,audi,Q3 quattro,2,4,29.5284,Turbocharged,SA,6,1,A,GP,2,2,compact_cars
2015,audi,Q5,2,4,29.5548,Turbocharged,SA,8,1,A,GP,2,2,small_suv_4wd
2015,audi,Q5,3,6,27.2096,Supercharged,SA,8,1,A,GP,2,2,small_suv_4wd
2017,audi,Q5,2,4,29.5548,Turbocharged,SA,8,1,A,GP,2,2,small_suv_4wd
2018,audi,Q5,2,4,32.9548,Turbocharged,SA,7,1,A,GP,2,2,small_suv_4wd
2015,audi,Q5 Hybrid,2,4,34.048,Turbocharged,SA,8,1,A,GP,2,2,small_suv_4wd
2015,audi,Q7,3,6,23.0678,Supercharged,SA,8,1,A,GP,2,2,standard_suv_4wd
2017,audi,Q7,2,4,29.9189,Turbocharged,SA,8,1,A,GP,2,2,standard_suv_4wd
2017,audi,Q7,3,6,27.6332,Supercharged,SA,8,1,A,GP,2,2,standard_suv_4wd
2018,audi,Q7,2,4,28.9743,Turbocharged,SA,8,1,A,GP,2,2,standard_suv_4wd
2015,audi,R8,4.2,8,20.5904,Naturally_Aspirated,AMS,7,1,A,GP,2,2,two_seaters
2015,audi,R8,5.2,10,19.4796,Naturally_Aspirated,AMS,7,1,A,GP,2,2,two_seaters
2015,audi,R8,4.2,8,17.0265,Naturally_Aspirated,M,6,0,A,GP,2,2,two_seaters
2015,audi,R8,5.2,10,16.8527,Naturally_Aspirated,M,6,0,A,GP,2,2,two_seaters
2017,audi,R8,5.2,10,21.0869,Naturally_Aspirated,AMS,7,1,A,GP,2,2,two_seaters
2018,audi,R8 AWD,5.2,10,20.3334,Naturally_Aspirated,AMS,7,1,A,GP,2,2,two_seaters
2018,audi,R8 RWD,5.2,10,21.2849,Naturally_Aspirated,AMS,7,1,R,GP,2,2,two_seaters
2017,audi,RS3,2.5,5,28.4436,Turbocharged,AMS,7,1,A,GP,2,2,subcompact_cars
2015,audi,RS5,4.2,8,22.8332,Naturally_Aspirated,AMS,7,1,A,GP,2,2,subcompact_cars
2018,audi,RS5,2.9,6,26.8028,Turbocharged,AMS,8,1,A,GP,2,2,subcompact_cars
2015,audi,RS5 Cabriolet,4.2,8,22.6159,Naturally_Aspirated,AMS,7,1,A,GP,2,2,subcompact_cars
2015,audi,RS7,4,8,22.5584,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2018,audi,RS7,4,8,21.7193,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,S3,2,4,33.1767,Turbocharged,AMS,6,1,A,GP,2,2,subcompact_cars
2017,audi,S3,2,4,30.3673,Turbocharged,AMS,6,1,A,GP,2,2,subcompact_cars
2018,audi,S3,2,4,32.7515,Turbocharged,AMS,7,1,A,GP,2,2,subcompact_cars
2015,audi,S5,3,6,26.9372,Supercharged,AMS,7,1,A,GP,2,2,subcompact_cars
2015,audi,S5,3,6,24.4063,Supercharged,M,6,0,A,GP,2,2,subcompact_cars
2018,audi,S5,3,6,31.8558,Turbocharged,AMS,8,1,A,GP,2,2,subcompact_cars
2015,audi,S5 Cabriolet,3,6,26.4165,Supercharged,AMS,7,1,A,GP,2,2,subcompact_cars
2018,audi,S5 Cabriolet,3,6,30.6474,Turbocharged,AMS,8,1,A,GP,2,2,subcompact_cars
2015,audi,S6,4,8,25.4423,Turbocharged,AMS,7,1,A,GP,2,2,midsize_cars
2016,audi,S6,4,8,26.843,Turbocharged,AMS,7,1,A,GP,2,2,midsize_cars
2018,audi,S6,4,8,23.817,Turbocharged,AMS,7,1,A,GP,2,2,midsize_cars
2016,audi,S7,4,8,26.7724,Turbocharged,AMS,7,1,A,GP,2,2,midsize_cars
2015,audi,S8,4,8,24.9995,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2016,audi,S8,4,8,23.6182,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2017,audi,S8,4,8,22.5368,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2018,audi,S8,4,8,22.5368,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,audi,SQ5,3,6,24.9252,Supercharged,SA,8,1,A,GP,2,2,small_suv_4wd
2018,audi,SQ5,3,6,26.8518,Turbocharged,AMS,8,1,A,GP,2,2,small_suv_4wd
2015,audi,TT Roadster quattro,2,4,33.2728,Turbocharged,AMS,6,1,A,GP,2,2,two_seaters
2016,audi,TT Roadster quattro,2,4,33.5228,Turbocharged,AMS,6,1,A,G,2,2,two_seaters
2017,audi,TT Roadster quattro,2,4,33.4616,Turbocharged,AMS,6,1,A,G,2,2,two_seaters
2018,audi,TT RS,2.5,5,28.3247,Turbocharged,AMS,7,1,A,GP,2,2,subcompact_cars
2016,audi,TTS Coupe,2,4,31.9024,Turbocharged,AMS,6,1,A,GP,2,2,subcompact_cars
2017,bentley,Bentayga,6,12,18.3763,Turbocharged,SA,8,1,A,GP,2,2,standard_suv_4wd
2015,bentley,Continental GT,4,8,23.6806,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2015,bentley,Continental GT,6,12,19.3741,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2015,bentley,Continental GT Convertible,4,8,21.7662,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,bentley,Continental GT Convertible,6,12,18.1658,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,bentley,Continental GT Convertible,6,12,17.5055,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,bentley,Continental GT3-R,4,8,21.0282,Turbocharged,SA,8,1,A,GP,2,2,two_seaters
2017,bentley,Continental Supersports,6,12,17.2195,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2017,bentley,Continental Supersports Convt,6,12,16.487,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,bentley,Flying Spur,4,8,19.5868,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,bentley,Mulsanne,6.8,8,15.8033,Turbocharged,SA,8,1,R,GP,1,1,midsize_cars
2016,bentley,Mulsanne,6.8,8,17.1546,Turbocharged,SA,8,1,R,GP,1,1,midsize_cars
2017,bentley,Mulsanne,6.8,8,17.1546,Turbocharged,SA,8,1,R,GP,1,1,midsize_cars
2017,bentley,Mulsanne EWB,6.8,8,16.0981,Turbocharged,SA,8,1,R,GP,1,1,midsize_cars
2015,bmw,228i,2,4,36.7347,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2015,bmw,228i,2,4,34.3735,Turbocharged,M,6,0,R,GP,2,2,subcompact_cars
2016,bmw,228i,2,4,35.8588,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2015,bmw,228i Convertible,2,4,35.1959,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2016,bmw,228i Convertible,2,4,35.359,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2015,bmw,228i xDrive,2,4,35.8594,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2016,bmw,228i xDrive,2,4,35.4975,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,bmw,228i xDrive Convertible,2,4,34.4331,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2016,bmw,228i xDrive Convertible,2,4,34.7884,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2017,bmw,230i Convertible,2,4,36.5536,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2018,bmw,230i Convertible,2,4,36.713,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2017,bmw,230i Coupe,2,4,37.3822,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2017,bmw,230i Coupe,2,4,32.7108,Turbocharged,M,6,0,R,GP,2,2,subcompact_cars
2018,bmw,230i Coupe,2,4,37.3834,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2018,bmw,230i Coupe,2,4,32.7171,Turbocharged,M,6,0,R,GP,2,2,subcompact_cars
2017,bmw,230i xDrive Convertible,2,4,35.3177,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,bmw,230i xDrive Convertible,2,4,35.5376,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2017,bmw,230i xDrive Coupe,2,4,36.6485,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,bmw,230i xDrive Coupe,2,4,36.5804,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,bmw,320i,2,4,36.854,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2015,bmw,320i,2,4,36.2709,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2016,bmw,320i,2,4,36.9738,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2016,bmw,320i,2,4,36.4983,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2017,bmw,320i,2,4,36.9057,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2017,bmw,320i,2,4,36.5176,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2018,bmw,320i,2,4,36.9924,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2018,bmw,320i,2,4,36.4158,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2017,bmw,320i xDrive,2,4,35.8795,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2018,bmw,320i xDrive,2,4,35.8753,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2015,bmw,328d,2,4,49.5715,Turbocharged,SA,8,1,R,DU,2,2,compact_cars
2016,bmw,328d,2,4,49.569,Turbocharged,SA,8,1,R,DU,2,2,compact_cars
2017,bmw,328d,2,4,49.5702,Turbocharged,SA,8,1,R,DU,2,2,compact_cars
2018,bmw,328d,2,4,49.5718,Turbocharged,SA,8,1,R,DU,2,2,compact_cars
2015,bmw,328d xDrive,2,4,47.7241,Turbocharged,SA,8,1,A,DU,2,2,compact_cars
2016,bmw,328d xDrive,2,4,46.2043,Turbocharged,SA,8,1,A,DU,2,2,compact_cars
2017,bmw,328d xDrive,2,4,46.1661,Turbocharged,SA,8,1,A,DU,2,2,compact_cars
2018,bmw,328d xDrive,2,4,46.3091,Turbocharged,SA,8,1,A,DU,2,2,compact_cars
2015,bmw,328i,2,4,36.0644,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2015,bmw,328i xDrive,2,4,34.4717,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2015,bmw,335i,3,6,31.0673,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2015,bmw,335i xDrive,3,6,29.6685,Turbocharged,M,6,0,A,GP,2,2,compact_cars
2016,bmw,340i,3,6,33.686,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2016,bmw,340i,3,6,30.1701,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2018,bmw,340i,3,6,33.4142,Turbocharged,SA,8,1,R,GP,2,2,compact_cars
2018,bmw,340i,3,6,29.927,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2016,bmw,340i xDrive,3,6,33.6514,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2016,bmw,340i xDrive,3,6,30.0196,Turbocharged,M,6,0,A,GP,2,2,compact_cars
2017,bmw,340i xDrive,3,6,29.7343,Turbocharged,M,6,0,A,GP,2,2,compact_cars
2018,bmw,340i xDrive,3,6,32.8988,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2018,bmw,340i xDrive,3,6,29.7627,Turbocharged,M,6,0,A,GP,2,2,compact_cars
2015,bmw,428i Convertible,2,4,35.131100000000004,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2015,bmw,428i xDrive Convertible,2,4,33.1031,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2016,bmw,428i xDrive Convertible,2,4,33.1474,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,bmw,428i xDrive Gran Coupe,2,4,33.9938,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2017,bmw,430i Coupe,2,4,33.568,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2017,bmw,430i xDrive Convertible,2,4,34.3106,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,bmw,430i xDrive Convertible,2,4,34.3441,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2015,bmw,435i Convertible,3,6,31.0299,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2016,bmw,435i Convertible,3,6,30.8317,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2016,bmw,435i Coupe,3,6,30.4958,Turbocharged,M,6,0,R,GP,2,2,compact_cars
2015,bmw,435i xDrive Convertible,3,6,30.2647,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2016,bmw,435i xDrive Convertible,3,6,30.2755,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2016,bmw,435i xDrive Coupe,3,6,29.3086,Turbocharged,M,6,0,A,GP,2,2,compact_cars
2015,bmw,435i xDrive Gran Coupe,3,6,31.0267,Turbocharged,SA,8,1,A,GP,2,2,compact_cars
2017,bmw,440i Convertible,3,6,31.431,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2018,bmw,440i Convertible,3,6,31.4876,Turbocharged,SA,8,1,R,GP,2,2,subcompact_cars
2017,bmw,440i xDrive Convertible,3,6,31.2584,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2018,bmw,440i xDrive Convertible,3,6,30.5444,Turbocharged,SA,8,1,A,GP,2,2,subcompact_cars
2017,bmw,530i,2,4,36.7545,Turbocharged,SA,8,1,R,GP,2,2,midsize_cars
2017,bmw,530i xDrive,2,4,35.5618,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,bmw,535d,3,6,40.7715,Turbocharged,SA,8,1,R,DU,2,2,midsize_cars
2016,bmw,535d,3,6,40.5462,Turbocharged,SA,8,1,R,DU,2,2,midsize_cars
2015,bmw,535d xDrive,3,6,39.0145,Turbocharged,SA,8,1,A,DU,2,2,midsize_cars
2016,bmw,535d xDrive,3,6,39.0171,Turbocharged,SA,8,1,A,DU,2,2,midsize_cars
2015,bmw,535i Gran Turismo,3,6,28.8289,Turbocharged,SA,8,1,R,GP,2,2,large_cars
2016,bmw,535i Gran Turismo,3,6,28.8255,Turbocharged,SA,8,1,R,GP,2,2,large_cars
2017,bmw,535i Gran Turismo,3,6,28.8255,Turbocharged,SA,8,1,R,GP,2,2,large_cars
2015,bmw,535i xDrive Gran Turismo,3,6,27.812,Turbocharged,SA,8,1,A,GP,2,2,large_cars
2017,bmw,535i xDrive Gran Turismo,3,6,27.812,Turbocharged,SA,8,1,A,GP,2,2,large_cars
2017,bmw,540i,3,6,31.2429,Turbocharged,SA,8,1,R,GP,2,2,midsize_cars
2018,bmw,540i,3,6,31.8809,Turbocharged,SA,8,1,R,GP,2,2,midsize_cars
2017,bmw,540i xDrive,3,6,30.948,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2018,bmw,540i xDrive,3,6,30.9551,Turbocharged,SA,8,1,A,GP,2,2,midsize_cars
2015,bmw,550i,4.4,8,25.4053,Turbocharged,SA,8,1,R,GP,2,2,midsize_cars
2015,bmw,550i Gran Turismo,4.4,8,24.9182,Turbocharged,SA,8,1,R,GP,2,2,large_cars
